Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus (ext),Address Bus,Empty,Empty,Frequency Min,Frequency Max/Typ,Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data associativity,L1 instruction cache,L1 instruction associativity,L1 unified cache,L1 unified associativity,L2 cache,L2 associativity,L3 cache,L3 associativity,Boot ROM,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die Size,Empty,Empty,Empty,Empty,Vcc range,Vcc(typ),Empty,Vcc(secondary),Vcc(tertiary),Vcc(core),Vcc(I/O),Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Empty,Empty,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8
Siemens,8086,SAB8086-1-C,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,16,20,,,,10MHz,10MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,Side-brazed CDIP-40,,,DIP-40,,,,,NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,,,,,,,,,,Ext 8087,,,,,,,,,Desktop PC,,,,,,,,,http://www.pc-atrium.de/html/siemens8086.html,,,,,,,
Siemens,8086,SAB8086-1-D,SAB8086-1D,,,,,,,,,CPU,,,,,,,,1,,,,,,16,16,20,,,,10MHz,10MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,CDIP-40,,,DIP-40,,,,,NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,,,,,,,,,,Ext 8087,,,,,,,,,Desktop PC,,,,,,,,,http://www.pc-atrium.de/html/siemens8086.html,,,,,,,
Siemens,8086,SAB8086-1-P,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,16,20,,,,10MHz,10MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,PDIP-40,,,DIP-40,,,,,NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,,,,,,,,,,Ext 8087,,,,,,,,,Desktop PC,,,,,,,,,http://www.pc-atrium.de/html/siemens8086.html,,,,,,,
Siemens,8086,SAB8086-2-C,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,16,20,,,,8MHz,8MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,Side-brazed CDIP-40,,,DIP-40,,,,,NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,,,,,,,,,,Ext 8087,,,,,,,,,Desktop PC,,,,,,,,,http://www.pc-atrium.de/html/siemens8086.html,,,,,,,
Siemens,8086,SAB8086-2-D,SAB8086-2D,,,,,,,,,CPU,,,,,,,,1,,,,,,16,16,20,,,,8MHz,8MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,CDIP-40,,,DIP-40,,,,,NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,,,,,,,,,,Ext 8087,,,,,,,,,Desktop PC,,,,,,,,,http://www.pc-atrium.de/html/siemens8086.html,,,,,,,
Siemens,8086,SAB8086-2-P,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,16,20,,,,8MHz,8MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,PDIP-40,,,DIP-40,,,,,NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,,,,,,,,,,Ext 8087,,,,,,,,,Desktop PC,,,,,,,,,http://www.pc-atrium.de/html/siemens8086.html,,,,,,,
Siemens,8086,SAB8086-2-N,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,16,20,,,,8MHz,8MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,PLCC-44,,,PLCC-44,,,,,NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,,,,,,,,,,Ext 8087,,,,,,,,,Desktop PC,,,,,,,,,http://www.pc-atrium.de/html/siemens8086.html,,,,,,,
Siemens,8086,SAB8086-1-N,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,16,20,,,,10MHz,10MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,PLCC-44,,,PLCC-44,,,,,NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,,,,,,,,,,Ext 8087,,,,,,,,,Desktop PC,,,,,,,,,http://www.pc-atrium.de/html/siemens8086.html,,,,,,,
Siemens,8086,SAB8086-4C,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,16,20,,,,4MHz,4MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,Side-brazed CDIP-40,,,DIP-40,,,,,NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,,,,,,,,,,Ext 8087,,,,,,,,,Desktop PC,,,,,,,,,http://www.pc-atrium.de/html/siemens8086.html,,,,,,,
Siemens,8086,SAB8086-N,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,16,20,,,,5MHz,5MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,PLCC-44,,,PLCC-44,,,,,NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,,,,,,,,,,Ext 8087,,,,,,,,,Desktop PC,,,,,,,,,http://www.pc-atrium.de/html/siemens8086.html,,,,,,,
